AUDIT_KEY,SOURCE_OBJECT_KEY,BATCH_ID,ETL_RUN_DATE,LAYER_NAME,PIPELINE_RUNID,PIPELINE_TRIGGER_NAME,TRIGGERED_BY_PIPELINE,SOURCE_TABLE,TARGET_TABLE,PIPELINE_NAME,LOAD_FROM_DATETIME,LOAD_TO_DATETIME,PIPELINE_START_TIME,PIPELINE_END_TIME,TASK_DURATION_SECONDS,TARGET_ROW_COUNT,ROWS_EXTRACTED,ROWS_INSERTED,ROWS_UPDATED,ROWS_DELETED,TOTAL_ROW_COUNT,FILE_SIZE_KB,LOAD_STATUS,ERROR_MESSAGE,PARTITION_KEY_VALUE,delta_max_value
4258,3001021,20241018213201,2024-10-18,MART,e215270e-4b53-4a83-8f31-2afd8f468d72,Sandbox,null,UPISELFTRANSFER_NEW,UPISELFTRANSFER_NEW,pl_edp_hourly_mart_load_parent,2024-10-09T13:17:15.000Z,2024-10-18T21:32:10.000Z,2024-10-18T21:32:01.000Z,2024-10-18T21:33:41.000Z,99,0,0,0,0,0,0,null,SUCCESS,null,null,null
4263,1004058,20241018134231,2024-10-18,CURATED,cfe62aa9-5dec-4897-9ff7-194574ea0823,Sandbox,pl_edp_visionplus_db_curated_weekly_child,GENERATEDTRANSACTION_DETAILS,GENERATEDTRANSACTION_DETAILS,pl_edp_visionplus_db_curated_data_load_weekly_pare,1990-01-01T00:00:00.000Z,2024-10-18T13:42:40.000Z,2024-10-18T21:40:20.000Z,2024-10-18T21:54:39.000Z,859,74788300,74788300,74788300,0,0,null,null,SUCCESS,null,null,null
4264,3001011,20241018214049,2024-10-18,MART,de46b7e7-f830-4809-ab61-0e203f72b22e,a2f41d8c-fab0-4c77-93f9-5d15a840781a,pl_edp_daily_mart_load_parent,PERSONA_DATA_FINAL,PERSONA_DATA_FINAL,pl_edp_daily_mart_load_parent,2024-08-15T00:00:00.000Z,2024-10-18T21:41:06.000Z,2024-10-18T21:40:49.000Z,2024-10-18T21:43:20.000Z,151,0,0,0,0,0,0,null,SUCCESS,null,null,null
4265,3001013,20241018214049,2024-10-18,MART,de46b7e7-f830-4809-ab61-0e203f72b22e,a2f41d8c-fab0-4c77-93f9-5d15a840781a,pl_edp_daily_mart_load_parent,AFFLUENT_BASE_ACC,AFFLUENT_BASE_ACC,pl_edp_daily_mart_load_parent,2024-08-15T00:00:00.000Z,2024-10-18T21:41:06.000Z,2024-10-18T21:40:49.000Z,2024-10-18T21:43:07.000Z,138,0,0,0,0,0,0,null,SUCCESS,null,null,null
4266,3001008,20241018214049,2024-10-18,MART,de46b7e7-f830-4809-ab61-0e203f72b22e,a2f41d8c-fab0-4c77-93f9-5d15a840781a,pl_edp_daily_mart_load_parent,HL_OFFUS_TXN_CBL_PM,HL_OFFUS_TXN_CBL_PM,pl_edp_daily_mart_load_parent,2024-08-15T00:00:00.000Z,2024-10-18T21:41:06.000Z,2024-10-18T21:40:49.000Z,2024-10-18T21:43:20.000Z,151,0,0,0,0,0,0,null,SUCCESS,null,null,null
4267,3001012,20241018214049,2024-10-18,MART,de46b7e7-f830-4809-ab61-0e203f72b22e,a2f41d8c-fab0-4c77-93f9-5d15a840781a,pl_edp_daily_mart_load_parent,UPI_P2M_V1,UPI_P2M_V1,pl_edp_daily_mart_load_parent,2024-08-15T00:00:00.000Z,2024-10-18T21:41:06.000Z,2024-10-18T21:40:49.000Z,2024-10-18T21:43:09.000Z,140,0,0,0,0,0,0,null,SUCCESS,null,null,null
4273,3001005,20241018225751,2024-10-18,MART,3a9682ab-1fe0-4b2d-a647-0e67c680b8ae,Sandbox,null,BROKERAGE_TRANS_DATA_CUBE,BROKERAGE_TRANS_DATA_CUBE,pl_edp_monthly_mart_load_parent,2024-08-15T00:00:00.000Z,2024-10-18T22:57:54.000Z,2024-10-18T22:57:51.000Z,2024-10-18T22:59:23.000Z,92,0,0,0,0,0,0,null,SUCCESS,null,null,null
4274,3001007,20241018230114,2024-10-18,MART,aed4d182-0054-443b-959f-895929c17a4b,Sandbox,null,LI_TRANS_DATA_CUBE,LI_TRANS_DATA_CUBE,pl_edp_monthly_mart_load_parent,2024-08-15T00:00:00.000Z,2024-10-18T23:01:24.000Z,2024-10-18T23:01:14.000Z,2024-10-18T23:02:47.000Z,93,0,0,0,0,0,0,null,SUCCESS,null,null,null
4275,3001006,20241018230114,2024-10-18,MART,aed4d182-0054-443b-959f-895929c17a4b,Sandbox,null,MF_TRANS_DATA_CUBE,MF_TRANS_DATA_CUBE,pl_edp_monthly_mart_load_parent,2024-08-15T00:00:00.000Z,2024-10-18T23:01:24.000Z,2024-10-18T23:01:14.000Z,2024-10-18T23:02:39.000Z,84,0,0,0,0,0,0,null,SUCCESS,null,null,null
4276,3001009,20241018230444,2024-10-18,MART,c6322f92-708c-48b2-b18e-702119ceea3f,Sandbox,null,MOBILE_TXN_TYPE_DATA,MOBILE_TXN_TYPE_DATA,pl_edp_monthly_mart_load_parent,2024-08-15T00:00:00.000Z,2024-10-18T23:04:55.000Z,2024-10-18T23:04:44.000Z,2024-10-18T23:06:32.000Z,108,0,0,0,0,0,0,null,SUCCESS,null,null,null
